time,temperature_2m,apparent_temperature,relative_humidity_2m
2026-06-11 00:00:00,24.5,28.5,89
2026-06-11 01:00:00,24.3,28.7,91
2026-06-11 02:00:00,24.2,29.0,92
2026-06-11 03:00:00,23.9,28.5,94
2026-06-11 04:00:00,23.2,27.6,96
2026-06-11 05:00:00,23.1,27.4,96
2026-06-11 06:00:00,23.2,27.3,96
2026-06-11 07:00:00,24.3,28.4,89
2026-06-11 08:00:00,25.6,29.5,78
2026-06-11 09:00:00,26.3,30.3,75
2026-06-11 10:00:00,27.4,31.2,71
2026-06-11 11:00:00,29.1,33.8,64
2026-06-11 12:00:00,28.4,32.2,67
2026-06-11 13:00:00,27.6,31.4,73
2026-06-11 14:00:00,27.7,32.2,77
2026-06-11 15:00:00,27.6,32.1,77
2026-06-11 16:00:00,27.3,31.4,77
2026-06-11 17:00:00,26.9,30.7,77
2026-06-11 18:00:00,26.0,29.8,81
2026-06-11 19:00:00,25.7,29.8,84
2026-06-11 20:00:00,25.3,29.4,86
2026-06-11 21:00:00,25.2,29.8,87
2026-06-11 22:00:00,24.6,29.0,91
2026-06-11 23:00:00,24.5,28.7,90
2026-06-12 00:00:00,24.6,28.4,90
2026-06-12 01:00:00,24.8,28.6,88
2026-06-12 02:00:00,24.3,29.3,96
2026-06-12 03:00:00,24.1,29.3,96
2026-06-12 04:00:00,24.4,29.6,93
2026-06-12 05:00:00,24.1,29.3,96
2026-06-12 06:00:00,24.0,29.1,97
2026-06-12 07:00:00,24.9,30.1,97
2026-06-12 08:00:00,26.1,30.7,86
2026-06-12 09:00:00,27.2,31.7,78
2026-06-12 10:00:00,28.3,32.7,71
2026-06-12 11:00:00,28.9,34.1,69
2026-06-12 12:00:00,29.0,35.3,72
2026-06-12 13:00:00,28.2,32.7,75
2026-06-12 14:00:00,29.3,34.0,66
2026-06-12 15:00:00,27.9,31.6,72
2026-06-12 16:00:00,27.2,31.4,77
2026-06-12 17:00:00,26.0,30.8,88
2026-06-12 18:00:00,26.0,30.8,85
2026-06-12 19:00:00,25.4,30.1,88
2026-06-12 20:00:00,25.4,30.0,88
2026-06-12 21:00:00,25.0,29.7,90
2026-06-12 22:00:00,24.9,29.7,91
2026-06-12 23:00:00,24.8,29.7,92
2026-06-13 00:00:00,24.8,29.6,92
2026-06-13 01:00:00,25.1,29.9,92
2026-06-13 02:00:00,25.2,30.4,92
2026-06-13 03:00:00,25.0,30.2,92
2026-06-13 04:00:00,24.8,29.8,94
2026-06-13 05:00:00,24.9,30.2,93
2026-06-13 06:00:00,24.3,28.7,96
2026-06-13 07:00:00,24.8,30.4,99
2026-06-13 08:00:00,25.4,31.3,98
2026-06-13 09:00:00,25.1,30.9,99
2026-06-13 10:00:00,25.1,30.6,99
2026-06-13 11:00:00,26.4,31.8,93
2026-06-13 12:00:00,29.5,35.2,79
2026-06-13 13:00:00,28.5,33.8,83
2026-06-13 14:00:00,30.5,35.2,72
2026-06-13 15:00:00,28.9,33.2,76
2026-06-13 16:00:00,28.6,33.1,77
2026-06-13 17:00:00,28.2,33.0,80
2026-06-13 18:00:00,27.7,32.9,83
2026-06-13 19:00:00,27.1,32.7,87
2026-06-13 20:00:00,26.4,32.6,92
2026-06-13 21:00:00,25.9,31.3,94
2026-06-13 22:00:00,25.3,30.8,96
2026-06-13 23:00:00,25.1,31.2,97
2026-06-14 00:00:00,24.4,29.0,97
2026-06-14 01:00:00,24.2,29.0,98
2026-06-14 02:00:00,24.7,29.7,99
2026-06-14 03:00:00,25.0,30.6,99
2026-06-14 04:00:00,24.9,30.3,98
2026-06-14 05:00:00,24.6,29.6,99
2026-06-14 06:00:00,24.6,30.4,98
2026-06-14 07:00:00,24.5,28.9,97
2026-06-14 08:00:00,24.8,30.0,99
2026-06-14 09:00:00,24.9,30.6,99
2026-06-14 10:00:00,24.9,30.8,99
2026-06-14 11:00:00,25.1,30.7,97
2026-06-14 12:00:00,25.8,31.4,97
2026-06-14 13:00:00,25.5,29.8,98
2026-06-14 14:00:00,25.6,30.3,98
2026-06-14 15:00:00,25.8,31.0,98
2026-06-14 16:00:00,26.1,31.5,98
2026-06-14 17:00:00,25.0,29.7,98
2026-06-14 18:00:00,24.5,29.2,98
2026-06-14 19:00:00,24.5,29.8,99
2026-06-14 20:00:00,24.9,30.7,98
2026-06-14 21:00:00,25.2,31.3,97
2026-06-14 22:00:00,25.6,31.6,96
2026-06-14 23:00:00,25.9,31.8,97
2026-06-15 00:00:00,26.1,32.0,97
2026-06-15 01:00:00,25.7,32.0,98
2026-06-15 02:00:00,25.2,30.7,97
2026-06-15 03:00:00,24.7,29.3,97
2026-06-15 04:00:00,24.7,30.3,97
2026-06-15 05:00:00,25.0,30.4,98
2026-06-15 06:00:00,25.1,29.9,98
2026-06-15 07:00:00,25.0,30.8,99
2026-06-15 08:00:00,24.8,31.0,99
2026-06-15 09:00:00,25.5,32.0,99
2026-06-15 10:00:00,26.4,33.3,98
2026-06-15 11:00:00,26.2,32.4,98
2026-06-15 12:00:00,26.2,32.2,97
2026-06-15 13:00:00,27.6,33.6,90
2026-06-15 14:00:00,25.8,31.0,96
2026-06-15 15:00:00,26.0,31.8,98
2026-06-15 16:00:00,25.6,31.3,98
2026-06-15 17:00:00,25.4,31.0,99
2026-06-15 18:00:00,25.5,31.8,99
2026-06-15 19:00:00,25.3,31.7,99
2026-06-15 20:00:00,25.3,31.3,99
2026-06-15 21:00:00,25.3,31.5,99
2026-06-15 22:00:00,25.4,31.6,99
2026-06-15 23:00:00,25.5,31.4,99
2026-06-16 00:00:00,25.5,31.6,99
2026-06-16 01:00:00,25.3,31.5,99
2026-06-16 02:00:00,25.3,32.0,99
2026-06-16 03:00:00,25.3,31.7,98
2026-06-16 04:00:00,25.2,31.5,96
2026-06-16 05:00:00,25.4,31.6,94
2026-06-16 06:00:00,25.3,31.5,95
2026-06-16 07:00:00,25.1,31.6,99
2026-06-16 08:00:00,24.9,30.5,99
2026-06-16 09:00:00,24.8,30.7,99
2026-06-16 10:00:00,25.0,31.0,98
2026-06-16 11:00:00,25.3,31.6,98
2026-06-16 12:00:00,26.0,32.0,98
2026-06-16 13:00:00,25.8,30.8,93
2026-06-16 14:00:00,25.8,32.1,99
2026-06-16 15:00:00,25.4,31.3,99
2026-06-16 16:00:00,25.4,30.9,98
2026-06-16 17:00:00,25.4,30.9,99
2026-06-16 18:00:00,24.9,30.4,98
2026-06-16 19:00:00,24.9,30.9,98
2026-06-16 20:00:00,24.8,30.1,99
2026-06-16 21:00:00,24.6,29.6,98
2026-06-16 22:00:00,24.1,29.0,99
2026-06-16 23:00:00,24.1,29.4,99
2026-06-17 00:00:00,24.5,29.8,98
2026-06-17 01:00:00,24.5,29.8,97
2026-06-17 02:00:00,24.4,29.5,96
2026-06-17 03:00:00,24.4,28.9,97
2026-06-17 04:00:00,23.8,28.3,98
2026-06-17 05:00:00,23.9,28.5,98
2026-06-17 06:00:00,23.9,28.4,97
2026-06-17 07:00:00,24.2,29.3,99
2026-06-17 08:00:00,24.8,30.0,99
2026-06-17 09:00:00,25.2,31.4,97
