time,temperature_2m,apparent_temperature,relative_humidity_2m
2026-01-01 00:00:00,2.5,-1.9,100
2026-01-01 01:00:00,2.5,-2.1,95
2026-01-01 02:00:00,2.3,-2.2,94
2026-01-01 03:00:00,2.3,-1.7,92
2026-01-01 04:00:00,2.2,-1.8,90
2026-01-01 05:00:00,2.0,-2.3,87
2026-01-01 06:00:00,1.8,-2.7,85
2026-01-01 07:00:00,1.4,-3.0,86
2026-01-01 08:00:00,1.5,-2.8,87
2026-01-01 09:00:00,1.9,-2.7,82
2026-01-01 10:00:00,3.0,-1.9,74
2026-01-01 11:00:00,4.3,-0.2,67
2026-01-01 12:00:00,5.2,0.9,64
2026-01-01 13:00:00,5.6,1.3,63
2026-01-01 14:00:00,4.4,0.3,67
2026-01-01 15:00:00,4.8,0.8,64
2026-01-01 16:00:00,4.9,0.7,63
2026-01-01 17:00:00,4.3,0.0,65
2026-01-01 18:00:00,3.4,-0.8,70
2026-01-01 19:00:00,2.3,-1.9,75
2026-01-01 20:00:00,2.0,-2.0,78
2026-01-01 21:00:00,1.6,-2.4,80
2026-01-01 22:00:00,1.4,-2.5,81
2026-01-01 23:00:00,0.8,-2.8,85
2026-01-02 00:00:00,0.5,-3.1,87
2026-01-02 01:00:00,0.2,-3.4,88
2026-01-02 02:00:00,0.1,-3.6,90
2026-01-02 03:00:00,-0.2,-3.8,91
2026-01-02 04:00:00,-0.3,-4.0,91
2026-01-02 05:00:00,-0.5,-4.2,91
2026-01-02 06:00:00,-0.7,-4.4,90
2026-01-02 07:00:00,-0.8,-4.4,90
2026-01-02 08:00:00,-0.3,-3.8,91
2026-01-02 09:00:00,0.6,-3.2,85
2026-01-02 10:00:00,2.0,-1.7,78
2026-01-02 11:00:00,3.5,-0.0,70
2026-01-02 12:00:00,4.6,1.1,65
2026-01-02 13:00:00,5.3,1.9,62
2026-01-02 14:00:00,4.7,1.6,65
2026-01-02 15:00:00,5.2,2.2,61
2026-01-02 16:00:00,5.3,2.4,59
2026-01-02 17:00:00,4.9,2.0,64
2026-01-02 18:00:00,3.8,0.7,73
2026-01-02 19:00:00,2.8,-0.0,77
2026-01-02 20:00:00,3.5,1.0,79
2026-01-02 21:00:00,3.0,-0.0,78
2026-01-02 22:00:00,1.7,-1.3,83
2026-01-02 23:00:00,1.1,-1.8,84
2026-01-03 00:00:00,1.0,-1.9,86
2026-01-03 01:00:00,0.5,-2.4,88
2026-01-03 02:00:00,0.3,-2.2,90
2026-01-03 03:00:00,0.6,-2.1,90
2026-01-03 04:00:00,1.0,-1.9,91
2026-01-03 05:00:00,1.3,-1.4,90
2026-01-03 06:00:00,1.1,-1.8,91
2026-01-03 07:00:00,1.2,-1.7,90
2026-01-03 08:00:00,1.9,-1.2,86
2026-01-03 09:00:00,2.5,-0.2,85
2026-01-03 10:00:00,3.1,0.4,82
2026-01-03 11:00:00,4.5,1.6,75
2026-01-03 12:00:00,5.7,2.9,69
2026-01-03 13:00:00,6.7,3.9,64
2026-01-03 14:00:00,7.2,4.3,62
2026-01-03 15:00:00,6.8,4.0,60
2026-01-03 16:00:00,6.8,4.1,60
2026-01-03 17:00:00,6.4,4.2,68
2026-01-03 18:00:00,6.2,4.4,76
2026-01-03 19:00:00,5.8,3.8,78
2026-01-03 20:00:00,4.9,2.8,86
2026-01-03 21:00:00,4.9,2.9,87
2026-01-03 22:00:00,4.8,2.4,87
2026-01-03 23:00:00,4.6,2.2,87
2026-01-04 00:00:00,4.4,1.9,87
2026-01-04 01:00:00,4.3,2.1,90
2026-01-04 02:00:00,4.2,1.8,92
2026-01-04 03:00:00,4.1,1.5,93
2026-01-04 04:00:00,4.0,1.5,92
2026-01-04 05:00:00,3.9,1.5,92
2026-01-04 06:00:00,3.9,1.5,93
2026-01-04 07:00:00,3.9,1.5,93
2026-01-04 08:00:00,3.7,1.4,93
2026-01-04 09:00:00,3.8,1.6,89
2026-01-04 10:00:00,4.1,2.0,87
2026-01-04 11:00:00,4.6,2.1,86
2026-01-04 12:00:00,4.8,2.2,86
2026-01-04 13:00:00,5.3,2.7,83
2026-01-04 14:00:00,5.4,2.7,80
2026-01-04 15:00:00,5.8,2.9,77
2026-01-04 16:00:00,5.6,2.8,77
2026-01-04 17:00:00,5.4,2.7,80
2026-01-04 18:00:00,5.0,2.6,83
2026-01-04 19:00:00,5.0,2.9,85
2026-01-04 20:00:00,4.9,2.6,86
2026-01-04 21:00:00,4.7,2.2,87
2026-01-04 22:00:00,4.3,2.1,87
2026-01-04 23:00:00,4.3,2.1,87
2026-01-05 00:00:00,4.0,1.7,88
2026-01-05 01:00:00,3.5,0.8,89
2026-01-05 02:00:00,3.8,1.1,92
2026-01-05 03:00:00,3.8,1.1,92
2026-01-05 04:00:00,3.7,0.9,93
2026-01-05 05:00:00,3.8,1.0,93
2026-01-05 06:00:00,4.0,1.3,92
2026-01-05 07:00:00,3.5,0.8,92
2026-01-05 08:00:00,4.0,1.1,91
2026-01-05 09:00:00,4.7,2.2,88
2026-01-05 10:00:00,5.9,3.4,79
2026-01-05 11:00:00,7.3,4.3,69
2026-01-05 12:00:00,8.2,5.0,64
2026-01-05 13:00:00,8.6,5.3,62
2026-01-05 14:00:00,8.4,5.2,62
2026-01-05 15:00:00,8.6,5.3,61
2026-01-05 16:00:00,8.6,5.7,59
2026-01-05 17:00:00,8.2,6.0,68
2026-01-05 18:00:00,7.4,5.4,75
2026-01-05 19:00:00,6.5,4.7,80
2026-01-05 20:00:00,5.9,3.1,73
2026-01-05 21:00:00,4.8,1.8,78
2026-01-05 22:00:00,3.8,1.2,84
2026-01-05 23:00:00,3.1,0.6,86
2026-01-06 00:00:00,2.9,0.6,86
2026-01-06 01:00:00,2.7,0.4,87
2026-01-06 02:00:00,2.3,-0.0,91
2026-01-06 03:00:00,2.3,-0.3,91
2026-01-06 04:00:00,1.6,-1.0,92
2026-01-06 05:00:00,1.5,-1.2,92
2026-01-06 06:00:00,1.6,-1.2,92
2026-01-06 07:00:00,1.9,-1.2,90
2026-01-06 08:00:00,2.2,-1.2,96
2026-01-06 09:00:00,2.9,-0.1,91
2026-01-06 10:00:00,4.9,1.7,72
2026-01-06 11:00:00,6.7,1.9,45
2026-01-06 12:00:00,7.9,2.0,32
2026-01-06 13:00:00,8.5,2.8,31
2026-01-06 14:00:00,9.1,3.5,34
2026-01-06 15:00:00,9.4,4.1,33
2026-01-06 16:00:00,9.2,4.4,35
2026-01-06 17:00:00,8.1,3.9,41
2026-01-06 18:00:00,5.9,2.5,52
2026-01-06 19:00:00,4.8,1.5,59
2026-01-06 20:00:00,4.2,1.2,64
2026-01-06 21:00:00,3.9,1.0,64
2026-01-06 22:00:00,3.4,0.4,64
2026-01-06 23:00:00,3.0,-0.0,64
2026-01-07 00:00:00,2.8,-0.6,68
2026-01-07 01:00:00,2.3,-0.9,72
2026-01-07 02:00:00,2.5,-0.6,76
2026-01-07 03:00:00,2.2,-1.0,78
2026-01-07 04:00:00,1.7,-1.4,81
2026-01-07 05:00:00,1.2,-1.8,84
2026-01-07 06:00:00,0.6,-2.4,86
2026-01-07 07:00:00,0.2,-2.8,87
2026-01-07 08:00:00,1.3,-1.7,88
2026-01-07 09:00:00,2.7,-0.4,88
2026-01-07 10:00:00,4.8,2.6,84
2026-01-07 11:00:00,7.2,5.1,78
2026-01-07 12:00:00,9.2,7.1,68
2026-01-07 13:00:00,10.8,7.8,48
2026-01-07 14:00:00,11.6,8.1,43
2026-01-07 15:00:00,11.8,8.1,41
2026-01-07 16:00:00,11.4,8.2,45
2026-01-07 17:00:00,9.7,7.3,59
2026-01-07 18:00:00,7.5,4.8,63
2026-01-07 19:00:00,6.3,3.6,65
2026-01-07 20:00:00,5.9,3.4,68
2026-01-07 21:00:00,5.7,3.3,66
2026-01-07 22:00:00,4.8,2.3,68
2026-01-07 23:00:00,4.2,1.6,71
2026-01-08 00:00:00,3.5,0.9,73
2026-01-08 01:00:00,2.9,0.4,78
2026-01-08 02:00:00,3.2,0.9,75
2026-01-08 03:00:00,2.5,-0.0,79
2026-01-08 04:00:00,1.6,-1.1,85
2026-01-08 05:00:00,1.3,-1.4,86
2026-01-08 06:00:00,1.0,-1.8,87
2026-01-08 07:00:00,1.0,-1.7,87
2026-01-08 08:00:00,1.8,-0.9,88
2026-01-08 09:00:00,3.4,0.8,86
2026-01-08 10:00:00,5.3,3.3,81
2026-01-08 11:00:00,7.6,5.4,69
2026-01-08 12:00:00,9.4,7.2,58
2026-01-08 13:00:00,10.7,8.2,49
2026-01-08 14:00:00,11.4,8.5,44
2026-01-08 15:00:00,11.6,8.6,41
2026-01-08 16:00:00,11.2,8.2,41
2026-01-08 17:00:00,9.6,7.4,60
2026-01-08 18:00:00,8.1,5.7,53
2026-01-08 19:00:00,8.1,5.6,49
2026-01-08 20:00:00,6.8,4.3,57
2026-01-08 21:00:00,5.6,3.0,65
2026-01-08 22:00:00,4.9,2.3,68
2026-01-08 23:00:00,4.6,1.9,68
2026-01-09 00:00:00,4.4,1.8,67
2026-01-09 01:00:00,3.7,0.8,69
2026-01-09 02:00:00,3.8,0.7,73
2026-01-09 03:00:00,3.6,0.4,72
2026-01-09 04:00:00,3.6,0.5,72
2026-01-09 05:00:00,3.3,0.2,72
2026-01-09 06:00:00,2.7,-0.3,74
2026-01-09 07:00:00,2.2,-0.8,78
2026-01-09 08:00:00,2.8,-0.0,83
2026-01-09 09:00:00,4.6,1.7,81
2026-01-09 10:00:00,6.7,4.1,75
2026-01-09 11:00:00,8.8,6.3,68
2026-01-09 12:00:00,10.8,8.2,62
2026-01-09 13:00:00,12.5,9.5,54
2026-01-09 14:00:00,13.6,10.3,51
2026-01-09 15:00:00,14.4,10.9,45
2026-01-09 16:00:00,14.0,11.0,49
2026-01-09 17:00:00,12.4,9.6,55
2026-01-09 18:00:00,10.5,7.7,61
2026-01-09 19:00:00,9.6,6.6,62
2026-01-09 20:00:00,8.9,6.0,64
2026-01-09 21:00:00,8.4,5.7,68
2026-01-09 22:00:00,7.7,5.1,71
2026-01-09 23:00:00,6.6,4.1,75
2026-01-10 00:00:00,5.8,3.3,76
2026-01-10 01:00:00,5.3,2.7,78
2026-01-10 02:00:00,5.2,2.9,78
2026-01-10 03:00:00,4.5,2.1,81
2026-01-10 04:00:00,4.0,1.5,83
2026-01-10 05:00:00,3.7,1.5,84
2026-01-10 06:00:00,3.2,1.0,86
2026-01-10 07:00:00,2.8,0.6,90
2026-01-10 08:00:00,3.0,0.6,96
2026-01-10 09:00:00,4.8,2.6,90
2026-01-10 10:00:00,7.9,5.8,82
2026-01-10 11:00:00,10.9,8.7,69
2026-01-10 12:00:00,13.0,8.8,45
2026-01-10 13:00:00,13.2,7.7,30
2026-01-10 14:00:00,13.9,8.8,28
2026-01-10 15:00:00,13.6,8.5,28
2026-01-10 16:00:00,12.6,7.9,32
2026-01-10 17:00:00,10.9,6.6,37
2026-01-10 18:00:00,9.1,5.0,42
2026-01-10 19:00:00,8.2,4.3,46
2026-01-10 20:00:00,7.2,3.8,54
2026-01-10 21:00:00,6.7,3.1,56
2026-01-10 22:00:00,6.1,2.2,55
2026-01-10 23:00:00,5.7,1.6,54
2026-01-11 00:00:00,5.2,1.1,54
2026-01-11 01:00:00,4.7,0.5,53
2026-01-11 02:00:00,4.6,0.2,54
2026-01-11 03:00:00,4.3,-0.2,52
2026-01-11 04:00:00,4.0,-0.4,53
2026-01-11 05:00:00,3.5,-0.6,55
2026-01-11 06:00:00,3.0,-1.0,58
2026-01-11 07:00:00,2.5,-1.5,59
2026-01-11 08:00:00,2.8,-1.6,57
2026-01-11 09:00:00,4.0,-0.3,57
2026-01-11 10:00:00,5.8,2.1,52
2026-01-11 11:00:00,7.8,4.2,45
2026-01-11 12:00:00,9.3,5.6,40
